"","college","private","applied","accepted","graduation.rate","acception.rate"
"473","Rhodes College","Yes",2302,1831,77,0.795395308427454
"474","Rider University","Yes",3586,2424,70,0.675962074735081
"475","Ripon College","Yes",587,501,64,0.853492333901193
"476","Rivier College","Yes",484,386,81,0.797520661157025
"477","Roanoke College","Yes",2227,1790,72,0.803771890435564
"478","Rockhurst College","Yes",935,858,79,0.917647058823529
"479","Rocky Mountain College","Yes",560,392,68,0.7
"480","Roger Williams University","Yes",3304,2804,61,0.848668280871671
"481","Rollins College","Yes",1777,1151,90,0.647720877884074
"482","Rosary College","Yes",434,321,81,0.73963133640553
"483","Rowan College of New Jersey","No",3820,1431,51,0.374607329842932
"484","Rutgers at New Brunswick","No",48094,26330,77,0.547469538819811
"485","Rutgers State University at Camden","No",3366,1752,57,0.520499108734403
"486","Rutgers State University at Newark","No",5785,2690,58,0.464995678478825
"487","Sacred Heart University","Yes",2307,1896,82,0.82184655396619
"488","Saint Ambrose University","Yes",897,718,70,0.800445930880713
"489","Saint Anselm College","Yes",2095,1553,97,0.741288782816229
"490","Saint Cloud State University","No",3971,3306,58,0.832535885167464
"491","Saint Francis College IN","Yes",213,166,48,0.779342723004695
"492","Saint Francis College","Yes",1046,824,69,0.787762906309751
"493","Saint John's University","Yes",933,800,70,0.857449088960343
"494","Saint Joseph's College IN","Yes",920,684,67,0.743478260869565
"495","Saint Joseph's College","Yes",833,682,85,0.818727490996399
"496","Saint Joseph's University","Yes",2519,2003,83,0.795156808257245
"497","Saint Joseph College","Yes",292,241,76,0.825342465753425
"498","Saint Louis University","Yes",3294,2855,67,0.866727383120826
"499","Saint Mary's College","Yes",888,734,98,0.826576576576577
"500","Saint Mary's College of Minnesota","Yes",876,802,78,0.915525114155251
"501","Saint Mary-of-the-Woods College","Yes",150,130,75,0.866666666666667
"502","Saint Michael's College","Yes",1910,1380,84,0.722513089005236
"503","Saint Olaf College","Yes",2248,1673,83,0.744217081850534
"504","Saint Peter's College","Yes",1606,1413,53,0.879825653798257
"505","Saint Vincent College","Yes",700,595,88,0.85
"506","Saint Xavier University","Yes",785,647,55,0.824203821656051
"507","Salem-Teikyo University","Yes",489,384,98,0.785276073619632
"508","Salem College","Yes",335,284,60,0.847761194029851
"509","Salisbury State University","No",4216,2290,56,0.543168880455408
"510","Samford University","Yes",1680,1395,61,0.830357142857143
"511","San Diego State University","No",9402,7020,41,0.746649649010849
"512","Santa Clara University","Yes",4019,2779,100,0.691465538691217
"513","Sarah Lawrence College","Yes",1380,768,83,0.556521739130435
"514","Savannah Coll. of Art and Design","Yes",1109,688,55,0.620378719567178
"515","Schreiner College","Yes",584,413,52,0.707191780821918
"516","Scripps College","Yes",855,632,73,0.739181286549708
"517","Seattle Pacific University","Yes",1183,1016,66,0.85883347421809
"518","Seattle University","Yes",2115,1540,89,0.728132387706856
"519","Seton Hall University","Yes",4576,3565,64,0.779064685314685
"520","Seton Hill College","Yes",936,794,71,0.848290598290598
"521","Shippensburg University of Penn.","No",5818,3281,72,0.563939498109316
"522","Shorter College","Yes",540,445,58,0.824074074074074
"523","Siena College","Yes",2961,1932,100,0.652482269503546
"524","Siena Heights College","Yes",464,419,47,0.90301724137931
"525","Simmons College","Yes",1003,782,79,0.779661016949153
"526","Simpson College","Yes",1016,872,70,0.858267716535433
"527","Sioux Falls College","Yes",437,400,48,0.91533180778032
"528","Skidmore College","Yes",4293,2728,81,0.635453063126019
"529","Smith College","Yes",2925,1598,90,0.546324786324786
"530","South Dakota State University","No",2807,2589,67,0.922337014606341
"531","Southeast Missouri State University","No",2281,1870,45,0.819815870232354
"532","Southeastern Oklahoma State Univ.","No",818,700,53,0.855745721271394
"533","Southern California College","Yes",385,340,43,0.883116883116883
"534","Southern Illinois University at Edwardsville","No",2540,2195,43,0.864173228346457
"535","Southern Methodist University","Yes",4301,3455,72,0.803301557777261
"536","Southwest Baptist University","Yes",1093,1093,71,1
"537","Southwest Missouri State University","No",6118,5254,56,0.858777378228179
"538","Southwest State University","No",1047,938,51,0.895893027698185
"539","Southwestern Adventist College","Yes",321,318,36,0.990654205607477
"540","Southwestern College","Yes",213,155,52,0.727699530516432
"541","Southwestern University","Yes",1244,912,67,0.733118971061093
"542","Spalding University","Yes",283,201,89,0.710247349823322
"543","Spelman College","Yes",3713,1237,65,0.333153784002155
"544","Spring Arbor College","Yes",372,362,49,0.973118279569892
"545","St. Bonaventure University","Yes",1489,1313,78,0.881799865681666
"546","St. John's College","Yes",323,278,64,0.860681114551084
"547","St. John Fisher College","Yes",1368,1064,66,0.777777777777778
"548","St. Lawrence University","Yes",2753,1820,85,0.661096985107156
"549","St. Martin's College","Yes",191,165,40,0.863874345549738
"550","St. Mary's College of California","Yes",2643,1611,78,0.609534619750284
"551","St. Mary's College of Maryland","No",1340,695,63,0.51865671641791
"552","St. Mary's University of San Antonio","Yes",1243,1020,72,0.82059533386967
"553","St. Norbert College","Yes",1334,1243,88,0.931784107946027
"554","St. Paul's College","Yes",651,581,45,0.89247311827957
"555","St. Thomas Aquinas College","Yes",861,609,67,0.707317073170732
"556","Stephens College","Yes",450,405,59,0.9
"557","Stetson University","Yes",1557,1227,73,0.788053949903661
"558","Stevens Institute of Technology","Yes",1768,1249,79,0.706447963800905
"559","Stockton College of New Jersey","No",4019,1579,64,0.392883801940781
"560","Stonehill College","Yes",3646,2300,97,0.630828304991772
"561","SUNY at Albany","No",13528,9198,74,0.679923122412774
"562","SUNY at Binghamton","No",14463,6166,80,0.426329253958377
"563","SUNY at Buffalo","No",15039,9649,56,0.641598510539265
"564","SUNY at Stony Brook","No",12512,6969,57,0.556985294117647
"565","SUNY College  at Brockport","No",7294,3564,49,0.488620784206197
"566","SUNY College  at Oswego","No",8000,4556,63,0.5695
"567","SUNY College at Buffalo","No",5318,3515,42,0.660962767957879
"568","SUNY College at Cortland","No",7888,3519,53,0.446120689655172
"569","SUNY College at Fredonia","No",4877,2798,66,0.5737133483699
"570","SUNY College at Geneseo","No",8598,4562,76,0.530588508955571
"571","SUNY College at New Paltz","No",8399,3609,53,0.429694011191809
"572","SUNY College at Plattsburgh","No",5549,3583,65,0.645701928275365
"573","SUNY College at Potsdam","No",3150,2289,59,0.726666666666667
"574","SUNY College at Purchase","No",2119,1264,46,0.596507786691836
"575","Susquehanna University","Yes",2096,1512,90,0.721374045801527
"576","Sweet Briar College","Yes",462,402,61,0.87012987012987
"577","Syracuse University","Yes",10477,7260,67,0.692946454137635
"578","Tabor College","Yes",257,183,53,0.712062256809339
"579","Talladega College","Yes",4414,1500,46,0.339827820570911
"580","Taylor University","Yes",1769,1092,98,0.617297908422838
"581","Tennessee Wesleyan College","Yes",232,182,36,0.78448275862069
"582","Texas A&M Univ. at College Station","No",14474,10519,69,0.726751416332735
"583","Texas A&M University at Galveston","No",529,481,43,0.909262759924386
"584","Texas Christian University","Yes",4095,3079,64,0.751892551892552
"585","Texas Lutheran College","Yes",497,423,50,0.851106639839034
"586","Texas Southern University","No",4345,3245,10,0.746835443037975
"587","Texas Wesleyan University","Yes",592,501,43,0.846283783783784
"588","The Citadel","No",1500,1242,84,0.828
"589","Thiel College","Yes",1154,951,60,0.824090121317158
"590","Tiffin University","Yes",845,734,39,0.868639053254438
"591","Transylvania University","Yes",759,729,70,0.960474308300395
"592","Trenton State College","No",5042,2312,81,0.458548195160651
"593","Tri-State University","Yes",1262,1102,65,0.873217115689382
"594","Trinity College CT","Yes",3058,1798,91,0.587965990843689
"595","Trinity College DC","Yes",247,189,96,0.765182186234818
"596","Trinity College VT","Yes",222,185,78,0.833333333333333
"597","Trinity University","Yes",2425,1818,93,0.749690721649485
"598","Tulane University","Yes",7033,5125,74,0.728707521683492
"599","Tusculum College","Yes",626,372,52,0.594249201277955
"600","Tuskegee University","Yes",2267,1827,65,0.80591089545655
"601","Union College KY","Yes",484,384,64,0.793388429752066
"602","Union College NY","Yes",3495,1712,88,0.489842632331903
"603","Univ. of Wisconsin at OshKosh","No",4800,2900,56,0.604166666666667
"604","University of Alabama at Birmingham","No",1797,1260,33,0.701168614357262
"605","University of Arkansas at Fayetteville","No",3235,3108,39,0.960741885625966
"606","University of California at Berkeley","No",19873,8252,78,0.415236753383988
"607","University of California at Irvine","No",15698,10775,66,0.686393171104599
"608","University of Central Florida","No",6986,2959,46,0.423561408531348
"609","University of Charleston","Yes",682,535,57,0.784457478005865
"610","University of Chicago","Yes",6348,2999,90,0.472432262129805
"611","University of Cincinnati","No",6855,5553,54,0.810065645514223
"612","University of Connecticut at Storrs","No",9735,7187,71,0.738263995891115
"613","University of Dallas","Yes",681,588,63,0.863436123348018
"614","University of Dayton","Yes",6361,5293,93,0.832101870775035
"615","University of Delaware","Yes",14446,10516,75,0.727952374359684
"616","University of Denver","Yes",2974,2001,67,0.672831203765972
"617","University of Detroit Mercy","Yes",927,731,51,0.78856526429342
"618","University of Dubuque","Yes",576,558,45,0.96875
"619","University of Evansville","Yes",2096,1626,77,0.775763358778626
"620","University of Florida","No",12445,8836,66,0.710004017677782
"621","University of Georgia","No",11220,7871,63,0.701515151515152
"622","University of Hartford","Yes",5081,4040,66,0.795119071049006
"623","University of Hawaii at Manoa","No",3580,2603,54,0.727094972067039
"624","University of Illinois - Urbana","No",14939,11652,81,0.779971885668385
"625","University of Illinois at Chicago","No",8384,5727,34,0.683086832061069
"626","University of Indianapolis","Yes",1487,1276,69,0.858103564223268
"627","University of Kansas","No",8579,5561,57,0.64821074717333
"628","University of La Verne","Yes",1597,969,47,0.606762680025047
"629","University of Louisville","No",4777,3057,31,0.639941385806992
"630","University of Maine at Farmington","No",1208,803,59,0.664735099337748
"631","University of Maine at Machias","No",441,369,64,0.836734693877551
"632","University of Maine at Presque Isle","No",461,381,35,0.82646420824295
"633","University of Maryland at Baltimore County","No",4269,2594,55,0.607636448817053
"634","University of Maryland at College Park","No",14292,10315,63,0.7217324377274
"635","University of Massachusetts at Amherst","No",14438,12414,68,0.859814378722815
"636","University of Massachusetts at Dartmouth","No",3347,2597,56,0.775918733193905
"637","University of Miami","Yes",7122,5386,59,0.756248244875035
"638","University of Michigan at Ann Arbor","No",19152,12940,87,0.675647451963241
"639","University of Minnesota at Duluth","No",4192,3126,53,0.745706106870229
"640","University of Minnesota at Morris","No",1458,874,51,0.599451303155007
"641","University of Minnesota Twin Cities","No",11054,6397,45,0.5787045413425
"642","University of Mississippi","No",3844,3383,53,0.880072840790843
"643","University of Missouri at Columbia","No",6574,4637,58,0.70535442652875
"644","University of Missouri at Rolla","No",1877,1826,49,0.972828982418753
"645","University of Missouri at Saint Louis","No",1618,1141,48,0.705191594561187
"646","University of Mobile","Yes",452,331,52,0.732300884955752
"647","University of Montevallo","No",1351,892,51,0.660251665433013
"648","University of Nebraska at Lincoln","No",6277,6003,53,0.95634857415963
"649","University of New England","Yes",1209,750,64,0.620347394540943
"650","University of New Hampshire","No",9750,7640,75,0.783589743589744
"651","University of North Carolina at Asheville","No",1757,979,37,0.557199772339215
"652","University of North Carolina at Chapel Hill","No",14596,5985,83,0.410043847629488
"653","University of North Carolina at Charlotte","No",5803,4441,62,0.765293813544718
"654","University of North Carolina at Greensboro","No",5191,4134,53,0.79637834713928
"655","University of North Carolina at Wilmington","No",6071,3856,55,0.635150716521166
"656","University of North Dakota","No",2777,2249,49,0.809866762693554
"657","University of North Florida","No",1800,1253,47,0.696111111111111
"658","University of North Texas","No",4418,2737,35,0.619511090991399
"659","University of Northern Colorado","No",5530,4007,40,0.724593128390597
"660","University of Northern Iowa","No",4144,3379,77,0.815395752895753
"661","University of Notre Dame","Yes",7700,3700,97,0.48051948051948
"662","University of Oklahoma","No",4743,3970,44,0.837022981235505
"663","University of Oregon","No",8631,6732,54,0.779979144942649
"664","University of Pennsylvania","Yes",12394,5232,93,0.422139745037922
"665","University of Pittsburgh-Main Campus","No",8586,6383,66,0.74341952014908
"666","University of Portland","Yes",1758,1485,72,0.844709897610922
"667","University of Puget Sound","Yes",4044,2826,63,0.698813056379822
"668","University of Rhode Island","No",9643,7751,63,0.803795499325936
"669","University of Richmond","Yes",5892,2718,100,0.461303462321792
"670","University of Rochester","Yes",8766,5498,80,0.627195984485512
"671","University of San Diego","Yes",3934,2735,66,0.695221148957804
"672","University of San Francisco","Yes",2306,1721,62,0.746313963573287
"673","University of Sci. and Arts of Oklahoma","No",285,280,43,0.982456140350877
"674","University of Scranton","Yes",4471,2942,92,0.658018340416014
"675","University of South Carolina at Aiken","No",848,560,48,0.660377358490566
"676","University of South Carolina at Columbia","No",7693,5815,63,0.755881970622644
"677","University of South Florida","No",7589,4676,47,0.616154961127948
"678","University of Southern California","Yes",12229,8498,68,0.694905552375501
"679","University of Southern Colorado","No",1401,1239,36,0.884368308351178
"680","University of Southern Indiana","No",2379,2133,38,0.896595208070618
"681","University of Southern Mississippi","No",2850,2044,45,0.71719298245614
"682","University of St. Thomas MN","Yes",2057,1807,89,0.878463782207098
"683","University of St. Thomas TX","Yes",374,280,62,0.748663101604278
"684","University of Tennessee at Knoxville","No",7473,5372,53,0.718854543021544
"685","University of Texas at Arlington","No",3281,2559,29,0.779945138677233
"686","University of Texas at Austin","No",14752,9572,65,0.648861171366594
"687","University of Texas at San Antonio","No",4217,3100,50,0.73511975337918
"688","University of the Arts","Yes",974,704,57,0.722792607802875
"689","University of the Pacific","Yes",2459,1997,65,0.812118747458316
"690","University of the South","Yes",1445,966,82,0.668512110726644
"691","University of Tulsa","Yes",1712,1557,47,0.90946261682243
"692","University of Utah","No",5095,4491,37,0.881452404317959
"693","University of Vermont","No",7663,6008,79,0.784027143416417
"694","University of Virginia","No",15849,5384,95,0.339705975140387
"695","University of Washington","No",12749,7025,65,0.551023609694878
"696","University of West Florida","No",1558,1254,53,0.804878048780488
"697","University of Wisconsin-Stout","No",2593,1966,65,0.758195140763594
"698","University of Wisconsin-Superior","No",910,910,36,1
"699","University of Wisconsin-Whitewater","No",4400,3719,67,0.845227272727273
"700","University of Wisconsin at Green Bay","No",2409,1939,46,0.804898298048983
"701","University of Wisconsin at Madison","No",14901,10932,72,0.733642037447151
"702","University of Wisconsin at Milwaukee","No",5244,3782,38,0.721205186880244
"703","University of Wyoming","No",2029,1516,45,0.747166091670774
"704","Upper Iowa University","Yes",663,452,78,0.681749622926094
"705","Ursinus College","Yes",1399,1026,79,0.733380986418871
"706","Ursuline College","Yes",325,260,68,0.8
"707","Valley City State University","No",368,344,40,0.934782608695652
"708","Valparaiso University","Yes",2075,1727,95,0.832289156626506
"709","Vanderbilt University","Yes",7791,4690,83,0.601976639712489
"710","Vassar College","Yes",3550,1877,90,0.528732394366197
"711","Villanova University","Yes",7759,5588,96,0.720195901533703
"712","Virginia Commonwealth University","No",4963,3497,45,0.704614144670562
"713","Virginia State University","No",2996,2440,31,0.814419225634179
"714","Virginia Tech","No",15712,11719,73,0.745863034623218
"715","Virginia Union University","Yes",1847,1610,30,0.871683811586356
"716","Virginia Wesleyan College","Yes",1470,900,68,0.612244897959184
"717","Viterbo College","Yes",647,518,73,0.800618238021638
"718","Voorhees College","Yes",1465,1006,58,0.686689419795222
"719","Wabash College","Yes",800,623,72,0.77875
"720","Wagner College","Yes",1416,1015,75,0.71680790960452
"721","Wake Forest University","Yes",5661,2392,89,0.42254018724607
"722","Walsh University","Yes",1092,890,68,0.815018315018315
"723","Warren Wilson College","Yes",440,311,63,0.706818181818182
"724","Wartburg College","Yes",1231,1074,67,0.872461413484972
"725","Washington and Jefferson College","Yes",1305,1100,86,0.842911877394636
"726","Washington and Lee University","Yes",3315,1096,90,0.330618401206636
"727","Washington College","Yes",1209,942,65,0.779156327543424
"728","Washington State University","No",6540,5839,56,0.892813455657492
"729","Washington University","Yes",7654,5259,90,0.687091716749412
"730","Wayne State College","No",1373,1373,52,1
"731","Waynesburg College","Yes",1190,978,63,0.821848739495798
"732","Webber College","Yes",280,143,90,0.510714285714286
"733","Webster University","Yes",665,462,48,0.694736842105263
"734","Wellesley College","Yes",2895,1249,91,0.431433506044905
"735","Wells College","Yes",318,240,69,0.754716981132076
"736","Wentworth Institute of Technology","Yes",1480,1257,64,0.849324324324324
"737","Wesley College","Yes",980,807,84,0.823469387755102
"738","Wesleyan University","Yes",4772,1973,92,0.413453478625314
"739","West Chester University of Penn.","No",6502,3539,52,0.544294063365118
"740","West Liberty State College","No",1164,1062,60,0.912371134020619
"741","West Virginia Wesleyan College","Yes",1566,1400,67,0.893997445721584
"742","Western Carolina University","No",3224,2519,55,0.781327543424318
"743","Western Maryland College","Yes",1205,984,60,0.816597510373444
"744","Western Michigan University","No",9167,7191,55,0.784444202029017
"745","Western New England College","Yes",1650,1471,59,0.891515151515151
"746","Western State College of Colorado","No",2702,1623,52,0.600666173205033
"747","Western Washington University","No",5548,3563,61,0.642213410237924
"748","Westfield State College","No",3100,2150,65,0.693548387096774
"749","Westminster College MO","Yes",662,553,62,0.835347432024169
"750","Westminster College","Yes",996,866,80,0.869477911646586
"751","Westminster College of Salt Lake City","Yes",917,720,50,0.785169029443839
"752","Westmont College","No",950,713,87,0.750526315789474
"753","Wheaton College IL","Yes",1432,920,85,0.642458100558659
"754","Westminster College PA","Yes",1738,1373,71,0.789988492520138
"755","Wheeling Jesuit College","Yes",903,755,72,0.83610188261351
"756","Whitman College","Yes",1861,998,72,0.536270822138635
"757","Whittier College","Yes",1681,1069,52,0.635930993456276
"758","Whitworth College","Yes",1121,926,80,0.826048171275647
"759","Widener University","Yes",2139,1492,63,0.697522206638616
"760","Wilkes University","Yes",1631,1431,67,0.877375843041079
"761","Willamette University","Yes",1658,1327,68,0.800361881785283
"762","William Jewell College","Yes",663,547,59,0.825037707390649
"763","William Woods University","Yes",469,435,52,0.927505330490405
"764","Williams College","Yes",4186,1245,99,0.297419971333015
"765","Wilson College","Yes",167,130,67,0.778443113772455
"766","Wingate College","Yes",1239,1017,91,0.820823244552058
"767","Winona State University","No",3325,2047,58,0.615639097744361
"768","Winthrop University","No",2320,1805,59,0.77801724137931
"769","Wisconsin Lutheran College","Yes",152,128,50,0.842105263157895
"770","Wittenberg University","Yes",1979,1739,78,0.878726629610915
"771","Wofford College","Yes",1501,935,75,0.622918054630247
"772","Worcester Polytechnic Institute","Yes",2768,2314,82,0.835982658959538
"773","Worcester State College","No",2197,1515,40,0.689576695493855
"774","Xavier University","Yes",1959,1805,83,0.921388463501787
"775","Xavier University of Louisiana","Yes",2097,1915,49,0.913209346685741
"776","Yale University","Yes",10705,2453,99,0.229145259224661
"777","York College of Pennsylvania","Yes",2989,1855,99,0.620608899297424
